model,sample,name,wavelength,cost,redchi,bic,aic,n1,n1_std,m1,m1_std,norm,bb_ratio,asymmetry_factor,g1,g1_std,alpha1,alpha1_std,gamma,gamma_std,n2,n2_std,m2,m2_std,g2,g2_std,alpha2,alpha2_std
FF_fit,PF_clear,Petzold clear,514,0.15150626634583003,0.034260296973861196,-106.40450454765391,-109.39751967058687,1.0355125635466726,0.006959189885075181,4.23735452759988,0.05072128871512195,0.9993061955178751,0.04439195713243828,0.8564520214216729,,,,,,,,,,,,,,
FF_fit,PF_coast,Petzold coast,514,0.17130141494708404,0.048244045643447274,-95.10909120792105,-98.10210633085401,1.0423557142449116,0.010814050539509564,3.827527173557714,0.09313237697591888,0.9932218530783465,0.014156149160050976,0.9374224874555067,,,,,,,,,,,,,,
FF_fit,PF_turbid,Petzold turbid,514,0.07025268772424803,0.008137188914426637,-153.8434031845134,-156.83641830744637,1.1296434865153362,0.03352406061540885,3.516523308605163,0.10437005997634928,0.9751203031447753,0.020734384203192843,0.8945172905378714,,,,,,,,,,,,,,
FF_fit,PF_avg-part,Petzold average,514,0.07846056225657233,0.010440692103220453,-145.61762203278118,-148.61063715571416,1.1238003330123456,0.036807298685940265,3.510400886632363,0.11922706953418391,0.9733870335824496,0.019277182629385894,0.89777207099723,,,,,,,,,,,,,,
FF_fit,Arizona,Arizona dust,405,0.3441569301430511,0.1472889118805436,-319.25488982939606,-325.5382169424014,1.1272078658429163,0.04552498558238318,3.512963737690391,0.1438305175519601,0.9742290099412986,0.020064635882262014,0.8959202476989602,,,,,,,,,,,,,,
FF_fit,Arizona,Arizona dust,443,0.35381339792028443,0.1558985329732764,-309.54049592219405,-315.8238230351994,1.1141263311223213,0.042643099071834174,3.5000000000003153,0.14795713998740886,0.9701549685672216,0.016940952151518546,0.9026551577595545,,,,,,,,,,,,,,
FF_fit,Arizona,Arizona dust,515,0.32308290870877326,0.1336873345059982,-335.82347243686394,-342.10679954986927,1.1055794800975745,0.037336841560089776,3.5000000000000004,0.1394982509872525,0.9689701045129961,0.015391183432391053,0.9068751748786316,,,,,,,,,,,,,,
FF_fit,Arizona,Arizona dust,658,0.34360388908746,0.15161994440207227,-314.29914241007566,-320.582469523081,1.093232472438763,0.035908768324007724,3.5000000000000155,0.1508736115559472,0.9669786983256616,0.013180716698928879,0.9127482972712709,,,,,,,,,,,,,,
FF_fit,Chlorella,$\it{C. autotrophica}$,405,0.4711035710739123,0.3994793671502855,-97.15097533685159,-102.62337223364058,1.0530083775970376,0.030443958273896857,3.5964668475660906,0.22291580062300187,0.9760560374091766,0.008775139008845977,0.938211351620692,,,,,,,,,,,,,,
FF_fit,Chlorella,$\it{C. autotrophica}$,443,0.5924940835413042,0.5768859249409631,-55.25797876939134,-60.730375666180336,1.0503820919099494,0.038232565620169565,3.5313456216567563,0.2874607411692864,0.9630208606829629,0.006629017567394811,0.9335013419674856,,,,,,,,,,,,,,
