sample,name,wavelength,cost,redchi,bic,aic,gamma,gamma_std,g1,g1_std,g2,g2_std,alpha1,alpha1_std,alpha2,alpha2_std,norm,bb_ratio,asymmetry_factor
PF_clear,Petzold clear,514,0.07007786551327802,0.009640901203433331,-141.1169056188437,-148.5994434261761,0.9777425012976309,0.005130128124272385,0.9435260446159076,0.007088834148071591,-0.2674803495008601,0.2688640224050469,0.3480672536869122,0.03737951693961497,2.4999999999881997,5.119714886287699,1.0000066693611238,0.04389481176599086,0.8575841024497458
PF_coast,Petzold coast,514,0.0728735404040528,0.011239390826989515,-136.0543737700673,-143.53691157739968,0.995800129941121,0.0009765007079359623,0.9470514256526985,0.004920779311864733,-0.37828194229016265,0.26630544565871545,0.5354129294030002,0.029266094720519758,2.499999999999541,4.334943935624827,1.0000082063018703,0.013435412699927929,0.9439759669413235
PF_turbid,Petzold turbid,514,0.06358959899385384,0.008592313864526115,-144.9167408821521,-152.3992786894845,0.998580204043661,0.0013246640739366647,0.9465241976037673,0.0050229869326063725,-0.3938300635965321,0.8460119806133691,0.39769780989381265,0.024474040686977627,2.4999999999999836,14.365683228600222,1.0000101347013821,0.02027960728239671,0.9170323593705052
PF_avg-part,Petzold average,514,0.058562797846823895,0.008649083293101307,-144.6994269491872,-152.1819647565196,0.998758532029146,0.0008598650606144681,0.9438256099976343,0.00482175448849345,-0.45282355123294166,0.6514253967560085,0.42520203871486373,0.022738710821490413,2.4999999999999925,10.747717371731003,1.0000102674004074,0.018562625924633723,0.921990022638564
Arizona,Arizona dust,405,0.13850353179688105,0.03170680130108059,-569.5255543741491,-585.2338721566624,0.9989498951257642,0.00029835466812716413,0.8610414223911559,0.005554128344462675,-0.8455371113668263,0.10238264773331716,0.7008683257035976,0.020563779532436155,1.3732074079601642,1.4139401219910819,1.0000061298808052,0.017453820083172256,0.9087545086790287
Arizona,Arizona dust,443,0.14054252847634724,0.03401621741654732,-557.5031969476247,-573.211514730138,0.9988999845254265,0.00022029650701637426,0.8589242427467146,0.005633729930263694,-0.7982462322833153,0.09966141656980994,0.7719558888465752,0.022603561008699265,1.3342764404101999,1.263290229556376,1.0000098141751597,0.014140322599914833,0.9203128565024383
Arizona,Arizona dust,515,0.13896359240676043,0.03876254281441564,-535.1676907646338,-550.8760085471471,0.9989133491304403,0.0003161888792986539,0.8732268059932696,0.005584843268848589,-0.8633012293832931,0.08758059885297143,0.744809057446027,0.022800215856850457,0.8954864308964728,0.8646426907205992,1.0000069715084436,0.013179394450362864,0.9266184828919652
Arizona,Arizona dust,658,0.13164740956570364,0.033006486852234715,-562.6559878801074,-578.3643056626207,0.998625745863761,0.0005213145509615195,0.8686758023375146,0.005187307618210636,-0.9173795130900755,0.07325013574662033,0.8174950679840532,0.022954475908372244,0.3900734920700052,0.38661456918227705,1.0000016010205839,0.0110770954868112,0.9342060303978024
Chlorella,$\it{C. autotrophica}$,405,0.10146084880125023,0.0173572132273086,-443.5591429567967,-457.24013519876917,0.9952116494048184,0.0008741966693361628,0.8900896839054238,0.00383029365660416,-0.9279999999999994,0.03730731306401942,0.9373066081610051,0.021578877794823228,0.23398189476249756,0.10228172617104524,0.999972347254741,0.00881656894252529,0.9539091109254012
Chlorella,$\it{C. autotrophica}$,443,0.06937891843509825,0.011826454423834367,-487.29743694123823,-500.9784291832107,0.9953421905856434,0.0006653019552414936,0.8664871218491693,0.0032856553650622176,-0.927999999999999,0.02688908555607596,1.1644784916461068,0.020174824533102733,0.2674912838942975,0.06981028013738327,0.9999705148309359,0.006990383391001311,0.9592252000423733
Chlorella,$\it{C. autotrophica}$,515,0.07625304485026066,0.008577994744463548,-523.907254335155,-537.5882465771275,0.9950273449740824,0.0005751125869612086,0.8889500967309629,0.0026443260282681,-0.9279999999999996,0.02474042987887856,0.9928571427223012,0.01565558922745742,0.21137009414328406,0.06290028762590551,0.9999731089640762,0.008130544973950916,0.9574177532263075
Chlorella,$\it{C. autotrophica}$,658,0.07518655405477305,0.008472975473912524,-525.3115554489638,-538.9925476909362,0.995288332584035,0.0005882215812069988,0.8907912271622648,0.002516922191581473,-0.9279999999999999,0.02364522277730847,1.0147962527746586,0.015128665604540084,0.26685757115592385,0.06316735736549221,0.999969455862995,0.007504461278225436,0.9603236303195505
Cylindrotheca,$\it{C. closterium}$,405,0.10833846297180506,0.017124135391145122,-445.1003401015847,-458.7813323435572,0.996674457902844,0.0004982143430679757,0.9410888334960328,0.0026259385671519404,-0.9279999999999999,0.04338918331383728,0.7267227939094305,0.0172060558356183,0.06355237661508811,0.10215681011408001,0.9999918350444276,0.007017691989739984,0.9668839352339735
Cylindrotheca,$\it{C. closterium}$,443,0.09002871865152948,0.012702627226248668,-479.1498663130552,-492.8308585550277,0.9965833927345497,0.0004418869013679885,0.8955629985242582,0.002875842233525943,-0.9279999999999999,0.029586268922137286,1.070314124723086,0.018640107282702798,0.18128475333435967,0.07084243453809717,0.9999874631909477,0.005347010748723208,0.9685853851150817
Cylindrotheca,$\it{C. closterium}$,515,0.10667502784752694,0.02495933151550843,-402.14982936094805,-415.83082160292054,0.9971389895385787,0.0006289371208680686,0.9577357603195266,0.0023774496745880202,-0.9279999999999649,0.04763788671956971,0.682697506164474,0.01761950515067285,0.20711393951571555,0.13066908645081152,0.9999814066075599,0.0058458843969657285,0.9740145072375581
