sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
 53.00  3.5551e-02  7.0592e-03  1.0541e-02    0.059104  2.2301e-02  1.4253e-02   0.0451420  0.1383960   0.0399917   0.0429632  2.6815e-03  0.00207683  2.0655e-03  1.6723e-02  4.4396e-03  2.4439e-03  5.2600e-03  0.0000e+00   0.000000   0.000000
 54.00  3.3819e-02  6.5557e-03  9.7705e-03    0.057067  2.0761e-02  1.3180e-02   0.0492656  0.1314062   0.0380387   0.0408509  2.6833e-03  0.00200982  1.9502e-03  1.5456e-02  4.1489e-03  2.4392e-03  5.5034e-03  0.0000e+00   0.000000   0.000000
 55.00  3.2536e-02  6.1292e-03  9.0972e-03    0.055529  1.9372e-02  1.2359e-02   0.0453971  0.1247621   0.0362690   0.0389538  3.1463e-03  0.00189876  1.8568e-03  1.3879e-02  3.9272e-03  2.3905e-03  4.3554e-03  9.7768e-18   0.000000   0.000000
 56.00  3.1069e-02  5.7310e-03  8.4552e-03    0.053651  1.8070e-02  1.1597e-02   0.0353972  0.1182872   0.0345887   0.0371312  3.3042e-03  0.00179283  1.7560e-03  1.2975e-02  3.7070e-03  2.3381e-03  2.2497e-03  9.7768e-18   0.000000   0.000000
 57.00  2.9548e-02  5.3609e-03  7.8445e-03    0.051873  1.6855e-02  1.0894e-02   0.0252102  0.1119815   0.0329981   0.0353830  3.1927e-03  0.00169202  1.6477e-03  1.2518e-02  3.4883e-03  2.2818e-03  7.6749e-04  0.0000e+00   0.000000   0.000000
 58.00  2.7841e-02  5.0376e-03  7.3202e-03    0.049808  1.5833e-02  1.0285e-02   0.0196646  0.1060085   0.0315180   0.0337820  2.9969e-03  0.00160775  1.4902e-03  1.2283e-02  3.2807e-03  2.1857e-03  3.5996e-04  0.0000e+00   0.000000   0.000000
 59.00  2.6274e-02  4.7227e-03  6.8487e-03    0.047977  1.4927e-02  9.7140e-03   0.0204656  0.1002365   0.0301181   0.0322517  2.6451e-03  0.00153712  1.3615e-03  1.1956e-02  3.0501e-03  2.1082e-03  1.6665e-03  4.8884e-18   0.000000   0.000000
 60.00  2.4949e-02  4.4162e-03  6.4302e-03    0.046483  1.4137e-02  9.1802e-03   0.0244061  0.0946653   0.0287983   0.0307921  2.4412e-03  0.00148012  1.2614e-03  1.1553e-02  2.7965e-03  2.0494e-03  2.9042e-03  1.4665e-17   0.000000   0.000000
 61.00  2.3712e-02  4.1726e-03  6.0795e-03    0.045093  1.3450e-02  8.7110e-03   0.0276593  0.0894188   0.0275842   0.0294880  2.5022e-03  0.00140997  1.1694e-03  1.0886e-02  2.6286e-03  1.9512e-03  3.7807e-03  4.8884e-18   0.000000   0.000000
 62.00  2.2691e-02  3.9607e-03  5.7401e-03    0.043861  1.2802e-02  8.2841e-03   0.0272533  0.0843354   0.0264252   0.0282261  2.4687e-03  0.00131267  1.0663e-03  1.0225e-02  2.4665e-03  1.8459e-03  3.5022e-03  0.0000e+00   0.000000   0.000000
 63.00  2.1698e-02  3.7806e-03  5.4120e-03    0.042744  1.2193e-02  7.8996e-03   0.0234050  0.0794152   0.0253214   0.0270064  2.5314e-03  0.00118824  9.5197e-04  9.5377e-03  2.3103e-03  1.7334e-03  2.4445e-03  0.0000e+00   0.000000   0.000000
 64.00  2.0667e-02  3.6154e-03  5.1286e-03    0.041675  1.1643e-02  7.5555e-03   0.0183855  0.0748234   0.0242996   0.0258993  2.5744e-03  0.00107010  8.9149e-04  9.0803e-03  2.1820e-03  1.6524e-03  1.3566e-03  0.0000e+00   0.000000   0.000000
 65.00  1.9630e-02  3.4415e-03  4.8646e-03    0.040276  1.1147e-02  7.2176e-03   0.0147087  0.0703885   0.0233185   0.0248457  2.4468e-03  0.00098465  8.4081e-04  8.3928e-03  2.0610e-03  1.5930e-03  8.3914e-04  0.0000e+00   0.000000   0.000000
 66.00  1.8554e-02  3.2590e-03  4.6200e-03    0.039059  1.0706e-02  6.8859e-03   0.0137445  0.0661105   0.0223781   0.0238455  2.2448e-03  0.00093189  7.9994e-04  8.2256e-03  1.9472e-03  1.5550e-03  1.4432e-03  0.0000e+00   0.000000   0.000000
 67.00  1.7459e-02  3.0744e-03  4.3847e-03    0.037485  1.0337e-02  6.5574e-03   0.0143808  0.0621165   0.0215129   0.0229136  1.8838e-03  0.00091180  7.7656e-04  7.9813e-03  1.8026e-03  1.5457e-03  2.1792e-03  0.0000e+00   0.000000   0.000000
 68.00  1.6461e-02  2.9078e-03  4.1723e-03    0.036208  9.9581e-03  6.2565e-03   0.0152538  0.0582777   0.0206912   0.0220231  1.5344e-03  0.00088407  7.6242e-04  7.9084e-03  1.6855e-03  1.5270e-03  2.6910e-03  0.0000e+00   0.000000   0.000000
 69.00  1.5555e-02  2.7590e-03  3.9827e-03    0.035053  9.5690e-03  5.9830e-03   0.0152143  0.0545943   0.0199131   0.0211742  1.3563e-03  0.00084871  7.5755e-04  7.8639e-03  1.5957e-03  1.4990e-03  2.5343e-03  0.0000e+00   0.000000   0.000000
 70.00  1.4744e-02  2.6255e-03  3.8087e-03    0.034031  9.1655e-03  5.7471e-03   0.0142177  0.0511837   0.0192044   0.0204093  1.3292e-03  0.00081518  7.4675e-04  7.4841e-03  1.5481e-03  1.4625e-03  1.9090e-03  0.0000e+00   0.000000   0.000000
 71.00  1.4035e-02  2.4966e-03  3.6460e-03    0.033049  8.8065e-03  5.5246e-03   0.0126210  0.0479057   0.0185324   0.0196715  1.2311e-03  0.00078738  7.3131e-04  7.2257e-03  1.4806e-03  1.4276e-03  9.2268e-04  0.0000e+00   0.000000   0.000000
 72.00  1.3359e-02  2.3724e-03  3.4949e-03    0.031966  8.4919e-03  5.3153e-03   0.0114554  0.0447602   0.0178973   0.0189608  1.1708e-03  0.00076530  7.1122e-04  6.9468e-03  1.3932e-03  1.3945e-03  6.9015e-04  0.0000e+00   0.000000   0.000000
 73.00  1.2635e-02  2.2534e-03  3.3583e-03    0.030969  8.1901e-03  5.1054e-03   0.0108390  0.0418437   0.0173027   0.0183286  1.0189e-03  0.00075647  7.1097e-04  6.9064e-03  1.3170e-03  1.3902e-03  1.1309e-03  0.0000e+00   0.000000   0.000000
 74.00  1.2042e-02  2.1415e-03  3.2222e-03    0.030091  7.8857e-03  4.8960e-03   0.0103674  0.0390449   0.0167338   0.0177204  9.5074e-04  0.00074116  7.0826e-04  6.7086e-03  1.2510e-03  1.3803e-03  1.8650e-03  0.0000e+00   0.000000   0.000000
 75.00  1.1547e-02  2.0366e-03  3.0866e-03    0.029546  7.5787e-03  4.6872e-03   0.0095590  0.0363636   0.0161908   0.0171363  1.0657e-03  0.00071938  7.0308e-04  6.2757e-03  1.1951e-03  1.3647e-03  2.1091e-03  0.0000e+00   0.000000   0.000000
 76.00  1.1185e-02  1.9530e-03  2.9725e-03    0.029204  7.3018e-03  4.5284e-03   0.0088983  0.0339234   0.0156885   0.0165837  1.2986e-03  0.00070221  6.9603e-04  5.3986e-03  1.1329e-03  1.3306e-03  2.1251e-03  0.0000e+00   0.000000   0.000000
 77.00  1.0838e-02  1.8709e-03  2.8713e-03    0.028791  7.0432e-03  4.3841e-03   0.0084819  0.0315911   0.0152074   0.0160560  1.4222e-03  0.00067979  6.8574e-04  4.6258e-03  1.0732e-03  1.2941e-03  1.4757e-03  0.0000e+00   0.000000   0.000000
 78.00  1.0374e-02  1.7900e-03  2.7830e-03    0.028187  6.8029e-03  4.2545e-03   0.0087348  0.0293666   0.0147476   0.0155532  1.4384e-03  0.00065213  6.7218e-04  4.1834e-03  1.0160e-03  1.2553e-03  8.9040e-04  0.0000e+00   0.000000   0.000000
 79.00  9.8460e-03  1.7315e-03  2.7029e-03    0.027447  6.5688e-03  4.1371e-03   0.0092460  0.0273251   0.0143320   0.0151028  1.3082e-03  0.00062020  6.5344e-04  4.0356e-03  9.9868e-04  1.1980e-03  6.3116e-04  0.0000e+00   0.000000   0.000000
 80.00  9.2996e-03  1.6816e-03  2.6207e-03    0.026576  6.3473e-03  4.0183e-03   0.0093025  0.0253665   0.0139282   0.0146641  1.0816e-03  0.00058012  6.3784e-04  4.0431e-03  9.7393e-04  1.1456e-03  7.6979e-04  0.0000e+00   0.000000   0.000000
 81.00  8.8336e-03  1.6406e-03  2.5362e-03    0.025819  6.1383e-03  3.8980e-03   0.0084974  0.0234908   0.0135362   0.0142372  9.9123e-04  0.00053189  6.2539e-04  3.9058e-03  9.4172e-04  1.0982e-03  1.1289e-03  0.0000e+00   0.000000   0.000000
 82.00  8.4245e-03  1.5970e-03  2.4512e-03    0.025130  5.9382e-03  3.7952e-03   0.0069986  0.0218109   0.0131746   0.0138663  9.1128e-04  0.00049932  6.1673e-04  3.6655e-03  9.3392e-04  1.0703e-03  1.2930e-03  0.0000e+00   0.000000   0.000000
 83.00  8.0506e-03  1.5502e-03  2.3753e-03    0.024525  5.7548e-03  3.6910e-03   0.0058376  0.0202075   0.0128342   0.0135051  8.6966e-04  0.00047921  6.1395e-04  3.4295e-03  9.2414e-04  1.0435e-03  1.2820e-03  0.0000e+00   0.000000   0.000000
 84.00  7.7121e-03  1.5002e-03  2.3085e-03    0.023991  5.5880e-03  3.5855e-03   0.0058048  0.0186806   0.0125149   0.0131535  8.0646e-04  0.00047155  6.1705e-04  3.2289e-03  9.1238e-04  1.0176e-03  1.0659e-03  0.0000e+00   0.000000   0.000000
 85.00  7.3444e-03  1.4514e-03  2.2528e-03    0.023438  5.4327e-03  3.4872e-03   0.0069295  0.0172989   0.0122104   0.0128320  7.1990e-04  0.00046362  6.1423e-04  3.0113e-03  8.9994e-04  9.8610e-04  7.9644e-04  0.0000e+00   0.000000   0.000000
 86.00  7.0378e-03  1.4078e-03  2.1983e-03    0.023013  5.2915e-03  3.3958e-03   0.0083877  0.0159933   0.0119209   0.0125248  6.9374e-04  0.00045402  6.0561e-04  2.7564e-03  8.8374e-04  9.6063e-04  6.7386e-04  6.1105e-19   0.000000   0.000000
 87.00  6.7673e-03  1.3696e-03  2.1450e-03    0.022614  5.1645e-03  3.3112e-03   0.0088316  0.0147637   0.0116464   0.0122318  7.0176e-04  0.00044276  5.9120e-04  2.3485e-03  8.6377e-04  9.4118e-04  5.3624e-04  1.8332e-18   0.000000   0.000000
 88.00  6.5257e-03  1.3326e-03  2.0990e-03    0.022241  5.0364e-03  3.2289e-03   0.0079999  0.0136565   0.0114053   0.0119643  7.2850e-04  0.00042829  5.8310e-04  1.9062e-03  8.6751e-04  9.2112e-04  7.7432e-04  6.1105e-19   0.000000   0.000000
 89.00  6.3216e-03  1.2954e-03  2.0509e-03    0.021924  4.9185e-03  3.1471e-03   0.0061918  0.0125985   0.0111729   0.0117090  7.4954e-04  0.00041442  5.7258e-04  1.5998e-03  8.6122e-04  8.9739e-04  8.2305e-04  0.0000e+00   0.000000   0.000000
 90.00  6.1041e-03  1.2580e-03  2.0009e-03    0.021571  4.8107e-03  3.0658e-03   0.0048564  0.0115898   0.0109494   0.0114658  7.5416e-04  0.00040116  5.5964e-04  1.3625e-03  8.4490e-04  8.7000e-04  8.4191e-04  0.0000e+00   0.000000   0.000000
 91.00  5.9007e-03  1.2289e-03  1.9647e-03    0.021174  4.7197e-03  3.0030e-03   0.0051938  0.0107076   0.0107455   0.0112364  7.5395e-04  0.00039439  5.5470e-04  1.1013e-03  8.2890e-04  8.5611e-04  9.1811e-04  0.0000e+00   0.000000   0.000000
 92.00  5.6711e-03  1.2005e-03  1.9310e-03    0.020743  4.6275e-03  2.9386e-03   0.0070245  0.0098737   0.0105535   0.0110225  7.4461e-04  0.00038137  5.4905e-04  8.8162e-04  8.1913e-04  8.3645e-04  8.9496e-04  0.0000e+00   0.000000   0.000000
 93.00  5.4621e-03  1.1730e-03  1.8997e-03    0.020282  4.5342e-03  2.8726e-03   0.0091895  0.0090883   0.0103734   0.0108241  6.9200e-04  0.00036208  5.4271e-04  6.7261e-04  8.1561e-04  8.1102e-04  7.4628e-04  0.0000e+00   0.000000   0.000000
 94.00  5.2369e-03  1.1570e-03  1.8660e-03    0.019914  4.4466e-03  2.8189e-03   0.0103443  0.0083862   0.0102096   0.0106319  6.6122e-04  0.00034485  5.2670e-04  5.9418e-04  8.4978e-04  7.8160e-04  9.8932e-04  0.0000e+00   0.000000   0.000000
 95.00  5.0372e-03  1.1377e-03  1.8295e-03    0.019506  4.3857e-03  2.7651e-03   0.0090862  0.0077279   0.0100548   0.0104525  5.9699e-04  0.00032977  5.1198e-04  4.6528e-04  8.5824e-04  7.5555e-04  7.0648e-04  0.0000e+00   0.000000   0.000000
 96.00  4.8369e-03  1.1152e-03  1.7902e-03    0.019037  4.3515e-03  2.7112e-03   0.0067140  0.0071133   0.0099090   0.0102860  5.5192e-04  0.00031684  4.9855e-04  4.0155e-04  8.4099e-04  7.3288e-04  6.6738e-04  0.0000e+00   0.000000   0.000000
 97.00  4.6682e-03  1.0881e-03  1.7527e-03    0.018679  4.2964e-03  2.6550e-03   0.0051075  0.0065859   0.0097718   0.0101252  5.2816e-04  0.00031056  4.9382e-04  3.0685e-04  8.7095e-04  7.1102e-04  8.9358e-04  0.0000e+00   0.000000   0.000000
 98.00  4.5055e-03  1.0624e-03  1.7215e-03    0.018277  4.2475e-03  2.6013e-03   0.0055477  0.0060914   0.0096429   0.0099748  5.0827e-04  0.00030927  4.9464e-04  2.3619e-04  8.7661e-04  6.9469e-04  1.2409e-03  0.0000e+00   0.000000   0.000000
 99.00  4.3660e-03  1.0380e-03  1.6965e-03    0.017909  4.2048e-03  2.5503e-03   0.0081913  0.0056299   0.0095221   0.0098348  4.7956e-04  0.00031297  5.0102e-04  1.2896e-04  8.5799e-04  6.8391e-04  1.6916e-03  0.0000e+00   0.000000   0.000000
100.00  4.2667e-03  1.0171e-03  1.6774e-03    0.017735  4.1561e-03  2.5053e-03   0.0114465  0.0052294   0.0094078   0.0097152  5.0308e-04  0.00030541  5.0295e-04  1.0309e-04  8.3882e-04  6.7206e-04  1.8790e-03  0.0000e+00   0.000000   0.000000
101.00  4.1603e-03  9.9878e-04  1.6558e-03    0.017499  4.1203e-03  2.4647e-03   0.0130346  0.0048598   0.0093015   0.0095978  5.3115e-04  0.00029565  4.9409e-04  3.6527e-04  8.0034e-04  6.6294e-04  1.6587e-03  0.0000e+00   0.000000   0.000000
102.00  4.0495e-03  9.8312e-04  1.6316e-03    0.017266  4.0976e-03  2.4286e-03   0.0118382  0.0045210   0.0092034   0.0094825  5.2949e-04  0.00028367  4.7444e-04  5.1357e-04  7.4254e-04  6.5657e-04  1.0601e-03  0.0000e+00   0.000000   0.000000
103.00  3.9427e-03  9.6749e-04  1.6064e-03    0.017024  4.0336e-03  2.3897e-03   0.0087934  0.0042402   0.0091187   0.0093775  5.3077e-04  0.00027271  4.5510e-04  6.7244e-04  7.6497e-04  6.4121e-04  5.8604e-04  0.0000e+00   0.000000   0.000000
104.00  3.8124e-03  9.5235e-04  1.5819e-03    0.016659  3.9859e-03  2.3543e-03   0.0061183  0.0039790   0.0090338   0.0092789  4.8572e-04  0.00026390  4.4043e-04  6.6112e-04  7.6221e-04  6.2691e-04  5.5861e-04  0.0000e+00   0.000000   0.000000
105.00  3.6753e-03  9.3772e-04  1.5583e-03    0.016281  3.9547e-03  2.3224e-03   0.0060185  0.0037375   0.0089487   0.0091867  4.5776e-04  0.00025723  4.3042e-04  6.4273e-04  7.3426e-04  6.1367e-04  1.1889e-03  0.0000e+00   0.000000   0.000000
106.00  3.5645e-03  9.1972e-04  1.5376e-03    0.015939  3.9176e-03  2.2933e-03   0.0086503  0.0035448   0.0088787   0.0091060  4.1557e-04  0.00025273  4.3439e-04  6.0015e-04  7.1774e-04  6.0491e-04  1.9672e-03  0.0000e+00   0.000000   0.000000
107.00  3.4669e-03  9.0341e-04  1.5208e-03    0.015617  3.8929e-03  2.2605e-03   0.0125239  0.0033740   0.0088119   0.0090282  3.8072e-04  0.00025021  4.3865e-04  5.4432e-04  6.9656e-04  5.9131e-04  2.5334e-03  0.0000e+00   0.000000   0.000000
108.00  3.3720e-03  8.8880e-04  1.5078e-03    0.015293  3.8807e-03  2.2240e-03   0.0150849  0.0032253   0.0087484   0.0089534  3.5033e-04  0.00024966  4.4317e-04  5.1427e-04  6.7071e-04  5.7287e-04  2.5075e-03  0.0000e+00   0.000000   0.000000
109.00  3.2732e-03  8.7589e-04  1.4872e-03    0.014959  3.8695e-03  2.1866e-03   0.0147529  0.0031074   0.0086847   0.0088857  3.1673e-04  0.00025239  4.2826e-04  4.3100e-04  6.2434e-04  5.7123e-04  1.7974e-03  0.0000e+00   0.000000   0.000000
110.00  3.1737e-03  8.6281e-04  1.4701e-03    0.014614  3.8266e-03  2.1527e-03   0.0120308  0.0030086   0.0086281   0.0088213  2.8476e-04  0.00024980  4.1442e-04  3.6212e-04  6.1744e-04  5.7502e-04  8.6461e-04  0.0000e+00   0.000000   0.000000
111.00  3.0808e-03  8.4955e-04  1.4566e-03    0.014322  3.7519e-03  2.1225e-03   0.0089185  0.0029287   0.0085783   0.0087601  2.5326e-04  0.00024190  4.0166e-04  2.3829e-04  6.5002e-04  5.8426e-04  1.2298e-04  0.0000e+00   0.000000   0.000000
112.00  2.9969e-03  8.3810e-04  1.4472e-03    0.014026  3.7143e-03  2.0937e-03   0.0079742  0.0028783   0.0085327   0.0087056  2.3790e-04  0.00023236  3.9696e-04  2.3072e-04  6.1378e-04  5.8557e-04  2.4944e-04  0.0000e+00   0.000000   0.000000
113.00  2.9256e-03  8.2768e-04  1.4374e-03    0.013768  3.6689e-03  2.0681e-03   0.0096567  0.0028425   0.0084889   0.0086525  2.1207e-04  0.00022573  3.9774e-04  2.0752e-04  5.9537e-04  5.8389e-04  7.3883e-04  0.0000e+00   0.000000   0.000000
114.00  2.8635e-03  8.1832e-04  1.4272e-03    0.013546  3.6156e-03  2.0457e-03   0.0127686  0.0028215   0.0084471   0.0086010  1.8644e-04  0.00022200  4.0399e-04  2.0294e-04  5.9480e-04  5.7921e-04  1.3144e-03  0.0000e+00   0.000000   0.000000
115.00  2.7935e-03  8.0868e-04  1.4109e-03    0.013324  3.5880e-03  2.0237e-03   0.0150367  0.0028274   0.0084117   0.0085622  1.7012e-04  0.00022433  4.1090e-04  2.3122e-04  5.7189e-04  5.6992e-04  1.5469e-03  0.0000e+00   0.000000   0.000000
116.00  2.7312e-03  7.9543e-04  1.3913e-03    0.013115  3.5558e-03  2.0066e-03   0.0150087  0.0028452   0.0083828   0.0085273  1.5062e-04  0.00023218  4.1398e-04  2.2674e-04  5.5609e-04  5.6502e-04  1.4034e-03  1.5276e-19   0.000000   0.000000
117.00  2.6656e-03  7.7856e-04  1.3687e-03    0.012886  3.5190e-03  1.9944e-03   0.0129231  0.0028750   0.0083606   0.0084964  1.3713e-04  0.00024556  4.1324e-04  1.9151e-04  5.4740e-04  5.6451e-04  9.5616e-04  4.5829e-19   0.000000   0.000000
118.00  2.6110e-03  7.6066e-04  1.3517e-03    0.012660  3.4871e-03  1.9834e-03   0.0107848  0.0029226   0.0083406   0.0084668  1.2109e-04  0.00025576  4.1321e-04  1.1961e-04  5.4479e-04  5.6098e-04  5.9685e-04  1.5276e-19   0.000000   0.000000
119.00  2.5617e-03  7.4938e-04  1.3422e-03    0.012429  3.4707e-03  1.9740e-03   0.0102172  0.0029799   0.0083220   0.0084379  1.0544e-04  0.00026049  4.1555e-04  8.4368e-05  5.3241e-04  5.6153e-04  2.5552e-05  1.5276e-19   0.000000   0.000000
120.00  2.5193e-03  7.4472e-04  1.3401e-03    0.012248  3.4699e-03  1.9659e-03   0.0122470  0.0030469   0.0083048   0.0084095  1.0164e-04  0.00025977  4.2027e-04  7.2129e-05  5.1025e-04  5.6615e-04  2.0258e-04  4.5829e-19   0.000000   0.000000
121.00  2.4862e-03  7.5546e-04  1.3441e-03    0.012102  3.4445e-03  1.9545e-03   0.0151511  0.0031346   0.0082850   0.0083859  9.6361e-05  0.00024393  4.2026e-04  1.1918e-04  5.4110e-04  5.5959e-04  6.8813e-04  4.5829e-19   0.000000   0.000000
122.00  2.4438e-03  7.6160e-04  1.3434e-03    0.011974  3.4212e-03  1.9430e-03   0.0169129  0.0032283   0.0082707   0.0083665  1.0439e-04  0.00022844  4.1629e-04  1.5254e-04  5.6237e-04  5.5262e-04  1.0145e-03  3.0553e-19   0.000000   0.000000
123.00  2.4126e-03  7.6315e-04  1.3380e-03    0.011841  3.3998e-03  1.9312e-03   0.0159010  0.0033278   0.0082621   0.0083514  9.9903e-05  0.00021330  4.0837e-04  1.7342e-04  5.7407e-04  5.4523e-04  1.1457e-03  0.0000e+00   0.000000   0.000000
124.00  2.3793e-03  7.6284e-04  1.3269e-03    0.011702  3.3960e-03  1.9291e-03   0.0125932  0.0034405   0.0082608   0.0083311  9.2292e-05  0.00022123  3.9801e-04  1.5420e-04  5.7082e-04  5.3717e-04  8.5728e-04  0.0000e+00   0.000000   0.000000
125.00  2.3457e-03  7.5901e-04  1.3176e-03    0.011540  3.3994e-03  1.9253e-03   0.0089936  0.0035595   0.0082594   0.0083161  8.3589e-05  0.00022759  3.8993e-04  1.5073e-04  5.6063e-04  5.3039e-04  4.9183e-04  0.0000e+00   0.000000   0.000000
126.00  2.3120e-03  7.5164e-04  1.3103e-03    0.011427  3.4099e-03  1.9200e-03   0.0077344  0.0036848   0.0082579   0.0083066  7.4891e-05  0.00023240  3.8414e-04  8.8119e-05  5.4352e-04  5.2489e-04  1.9856e-05  0.0000e+00   0.000000   0.000000
127.00  2.2875e-03  7.5102e-04  1.3113e-03    0.011299  3.3959e-03  1.9196e-03   0.0096254  0.0038180   0.0082571   0.0082914  6.7500e-05  0.00023483  3.8686e-04  7.9485e-05  5.4378e-04  5.2525e-04  2.7397e-04  0.0000e+00   0.000000   0.000000
128.00  2.2651e-03  7.5105e-04  1.3153e-03    0.011238  3.3821e-03  1.9211e-03   0.0131286  0.0039560   0.0082588   0.0082767  6.5116e-05  0.00023549  3.9494e-04  9.8864e-06  5.4549e-04  5.2272e-04  1.2618e-04  0.0000e+00   0.000000   0.000000
129.00  2.2509e-03  7.5172e-04  1.3223e-03    0.011164  3.3685e-03  1.9244e-03   0.0160547  0.0040987   0.0082630   0.0082625  6.6642e-05  0.00023439  4.0838e-04  3.2276e-05  5.4865e-04  5.1729e-04  5.9144e-04  0.0000e+00   0.000000   0.000000
130.00  2.2363e-03  7.5891e-04  1.3202e-03    0.011121  3.3755e-03  1.9219e-03   0.0160684  0.0042543   0.0082725   0.0082501  7.6870e-05  0.00023430  4.0917e-04  7.5529e-05  5.3661e-04  4.9731e-04  1.0573e-03  0.0000e+00   0.000000   0.000000
131.00  2.2173e-03  7.6299e-04  1.3150e-03    0.011049  3.3703e-03  1.9231e-03   0.0131718  0.0044074   0.0082782   0.0082402  7.6622e-05  0.00023402  4.0741e-04  1.3343e-04  5.3816e-04  4.8909e-04  1.0767e-03  0.0000e+00   0.000000   0.000000
132.00  2.1944e-03  7.6395e-04  1.3068e-03    0.010975  3.3529e-03  1.9279e-03   0.0091388  0.0045580   0.0082800   0.0082328  6.0971e-05  0.00023354  4.0310e-04  2.9941e-04  5.5329e-04  4.9264e-04  9.4566e-04  0.0000e+00   0.000000   0.000000
133.00  2.1533e-03  7.6629e-04  1.3075e-03    0.010833  3.3450e-03  1.9313e-03   0.0066249  0.0047112   0.0082787   0.0082196  2.9091e-05  0.00023960  4.0132e-04  5.0316e-04  5.4700e-04  4.8821e-04  5.6409e-04  0.0000e+00   0.000000   0.000000
134.00  2.1093e-03  7.7012e-04  1.3128e-03    0.010686  3.3470e-03  1.9372e-03   0.0072168  0.0048690   0.0082736   0.0082076  8.6248e-06  0.00024445  4.0227e-04  8.1345e-04  5.3604e-04  4.8188e-04  4.0121e-05  0.0000e+00   0.000000   0.000000
135.00  2.0724e-03  7.7542e-04  1.3225e-03    0.010577  3.3589e-03  1.9455e-03   0.0098248  0.0050313   0.0082647   0.0081967  4.2216e-05  0.00024807  4.0595e-04  1.0897e-03  5.2042e-04  4.7365e-04  4.2278e-04  0.0000e+00   0.000000   0.000000
136.00  2.0473e-03  7.8400e-04  1.3357e-03    0.010530  3.3503e-03  1.9471e-03   0.0118891  0.0051846   0.0082515   0.0081812  7.6491e-05  0.00025470  4.0990e-04  1.3155e-03  5.4760e-04  4.6763e-04  2.2166e-04  0.0000e+00   0.000000   0.000000
137.00  2.0387e-03  7.9087e-04  1.3423e-03    0.010517  3.3496e-03  1.9490e-03   0.0116976  0.0053287   0.0082338   0.0081593  6.8881e-05  0.00025992  4.0579e-04  1.3675e-03  5.6213e-04  4.6762e-04  2.7390e-05  0.0000e+00   0.000000   0.000000
138.00  2.0390e-03  7.9603e-04  1.3423e-03    0.010593  3.3568e-03  1.9512e-03   0.0090011  0.0054638   0.0082114   0.0081312  5.0105e-05  0.00026371  3.9363e-04  1.4091e-03  5.6402e-04  4.7361e-04  1.2334e-04  0.0000e+00   0.000000   0.000000
139.00  2.0392e-03  8.0131e-04  1.3435e-03    0.010638  3.3342e-03  1.9451e-03   0.0055372  0.0055974   0.0081787   0.0080932  2.4061e-05  0.00027159  3.8785e-04  1.4750e-03  6.1955e-04  4.5939e-04  1.7981e-04  0.0000e+00   0.000000   0.000000
140.00  2.0423e-03  8.0604e-04  1.3483e-03    0.010635  3.3335e-03  1.9412e-03   0.0038808  0.0057281   0.0081479   0.0080526  4.6833e-08  0.00027685  3.8941e-04  1.5480e-03  6.4965e-04  4.4456e-04  3.2981e-05  0.0000e+00   0.000000   0.000000
141.00  2.0413e-03  8.1021e-04  1.3568e-03    0.010591  3.3546e-03  1.9395e-03   0.0051454  0.0058559   0.0081189   0.0080092  5.9783e-06  0.00027951  3.9830e-04  1.6254e-03  6.5433e-04  4.2911e-04  2.6650e-04  0.0000e+00   0.000000   0.000000
142.00  2.0554e-03  8.2510e-04  1.3723e-03    0.010594  3.3794e-03  1.9587e-03   0.0084462  0.0060054   0.0081224   0.0080047  2.7169e-05  0.00028668  4.0866e-04  1.6787e-03  6.9270e-04  4.2901e-04  4.4801e-04  0.0000e+00   0.000000   0.000000
143.00  2.0704e-03  8.3911e-04  1.3886e-03    0.010656  3.4067e-03  1.9741e-03   0.0112387  0.0061485   0.0081191   0.0079943  4.4857e-05  0.00029055  4.1747e-04  1.7572e-03  7.2362e-04  4.2942e-04  5.0377e-04  0.0000e+00   0.000000   0.000000
144.00  2.0830e-03  8.5224e-04  1.4058e-03    0.010659  3.4366e-03  1.9857e-03   0.0117183  0.0062850   0.0081087   0.0079780  6.3956e-05  0.00029112  4.2472e-04  1.7544e-03  7.4706e-04  4.3032e-04  5.8669e-04  0.0000e+00   0.000000   0.000000
145.00  2.0971e-03  8.6827e-04  1.4221e-03    0.010678  3.4427e-03  1.9996e-03   0.0095543  0.0064151   0.0080977   0.0079660  8.3886e-05  0.00029781  4.2994e-04  1.8243e-03  7.8395e-04  4.3517e-04  4.0509e-04  0.0000e+00   0.000000   0.000000
