sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
  4.00  1.3666e+01  2.1956e+01  2.4185e+01   15.471435  1.0716e+01  2.1973e+01  14.9170940  0.6077540  11.5407189  11.9720079  7.3882e+00  2.51541844  1.0046e+01  1.4610e+00  3.8867e+00  1.1913e+01  3.7844e+00  9.6763e-02   5.342667   4.655979
  4.25  1.2300e+01  1.9819e+01  2.0376e+01   13.597265  9.5822e+00  1.8323e+01  13.7745464  0.5912557  10.5890803  10.7273734  6.2983e+00  2.44496475  8.3082e+00  1.6323e+00  3.4656e+00  9.8394e+00  3.6059e+00  6.7093e-02   4.867311   4.120610
  4.50  1.1271e+01  1.7954e+01  1.7545e+01   11.886365  8.7857e+00  1.5720e+01  12.7735148  0.5761912   9.8274328   9.7564074  5.7542e+00  2.76635339  7.9743e+00  1.5834e+00  3.5464e+00  9.2365e+00  3.6302e+00  3.5382e-02   4.670178   3.955707
  4.75  1.0243e+01  1.6537e+01  1.5655e+01   10.175465  8.2610e+00  1.3984e+01  11.7724832  0.5778613   9.1906560   9.0012909  5.2102e+00  2.45542996  6.3092e+00  1.5346e+00  3.2428e+00  7.4082e+00  3.6544e+00  2.7337e-02   4.296451   3.485546
  5.00  9.2450e+00  1.5126e+01  1.3905e+01    8.561499  7.7435e+00  1.2379e+01  10.7490308  0.5790149   8.5624957   8.2724200  4.7000e+00  2.15319426  4.8860e+00  1.3517e+00  2.9498e+00  5.7918e+00  3.6466e+00  2.0118e-02   3.928353   3.048450
  5.25  8.4930e+00  1.3740e+01  1.2723e+01    7.766091  7.2552e+00  1.1308e+01   9.7840533  0.5780726   7.9693078   7.6500737  4.1528e+00  1.88621991  4.4442e+00  1.2260e+00  2.6998e+00  5.0350e+00  3.2974e+00  1.6253e-02   3.583102   2.745555
  5.50  7.7410e+00  1.2354e+01  1.1541e+01    6.970683  6.7669e+00  1.0238e+01   8.8190758  0.5771303   7.3761199   7.0277274  3.6057e+00  1.61924556  4.0025e+00  1.1003e+00  2.4499e+00  4.2782e+00  2.9483e+00  1.2387e-02   3.237850   2.442660
  5.75  6.9890e+00  1.0967e+01  1.0359e+01    6.175275  6.2786e+00  9.1668e+00   7.8540983  0.5761880   6.7829321   6.4053811  3.0585e+00  1.35227121  3.5607e+00  9.7454e-01  2.1999e+00  3.5214e+00  2.5991e+00  8.5222e-03   2.892599   2.139765
  6.00  6.3977e+00  9.7996e+00  9.3326e+00    5.464371  5.8674e+00  8.3895e+00   6.9945071  0.5746542   6.2714264   5.8765305  2.7710e+00  1.39588042  3.3313e+00  7.3301e-01  2.0659e+00  3.2138e+00  2.4001e+00  5.5990e-03   2.669580   1.981040
  6.25  5.9576e+00  9.0545e+00  8.6241e+00    4.976826  5.5656e+00  7.8625e+00   6.2774370  0.5759632   5.8636184   5.4860792  2.4971e+00  1.13122268  2.8553e+00  6.9739e-01  1.8825e+00  2.9559e+00  2.1395e+00  7.5271e-03   2.411013   1.755749
