,sample,name,wavelength,cost,redchi,bic,aic,gamma,gamma_std,n1,n1_std,m1,m1_std,g2,g2_std,alpha2,alpha2_std
0,PF_clear,PF_clear,514,0.06542054018691995,0.006295606326027513,-155.1802717012681,-162.6628095086005,0.9823660287519395,0.003631673609656969,1.1209077627918422,0.04896286095211103,3.671767175877124,0.1900381168862343,-0.2562805606110026,0.23965394312864627,2.4999302846908558,4.532009398444248
0,PF_coast,PF_coast,514,0.07590252132678388,0.011745337945329426,-134.60132618058475,-142.08386398791714,0.998013621106233,0.0008528362338513194,1.0830565135587418,0.044945170584996454,3.5163420877991483,0.22401606169467206,-0.48293315705317413,0.36967412554016144,2.435312798905065,5.838975523206057
0,PF_turbid,PF_turbid,514,0.07025253155432526,0.009009030578929192,-143.3538805180637,-150.8364183253961,0.9999999999999999,,1.1296396959789166,,3.5165349751600115,,-0.9279973828419915,,2.4964562990949557,
0,PF_avg-part,PF_avg-part,514,0.07728852592176769,0.011521852285697751,-135.23528786764513,-142.71782567497752,0.9998909479835735,0.05554139452101601,1.1239746205351957,0.040005997962095176,3.5093804456254447,0.13388107291077306,-0.8932603358042257,30.41795226544052,2.469575366452632,449.5522092641426
